Year,Month,Turbidity,Interpolated,MonthName
2015,1,1.0106808859721084,False,Jan
2015,2,1.065946935041171,False,Feb
2015,3,1.090475806451613,False,Mar
2015,4,1.0537894736842106,False,Apr
2015,5,0.9335874439461884,False,May
2015,6,0.8240281899109791,False,Jun
2015,7,0.5819626168224299,False,Jul
2015,8,0.5994295774647888,False,Aug
2015,9,0.667375189107413,False,Sep
2015,10,0.6468265078183172,False,Oct
2015,11,0.750544094488189,False,Nov
2015,12,0.7396691729323308,False,Dec
2016,1,0.7542890262751158,False,Jan
2016,2,0.8345799676898223,False,Feb
2016,3,0.8124352331606217,False,Mar
2016,4,0.7979085979860573,False,Apr
2016,5,0.707856071964018,False,May
2016,6,0.7464503816793894,False,Jun
2016,7,0.6600366032210835,False,Jul
2016,8,0.7069096209912537,False,Aug
2016,9,0.7315577507598784,False,Sep
2016,10,0.6507715582450833,False,Oct
2016,11,0.5283359497645213,False,Nov
2016,12,0.5554633061527058,False,Dec
2017,1,0.5908458083832335,False,Jan
2017,2,0.6569525395503747,False,Feb
2017,3,0.8352875280059746,False,Mar
2017,4,0.9148454404945904,False,Apr
2017,5,0.8872556118754525,False,May
2017,6,0.7729565868263474,False,Jun
2017,7,0.6257174231332358,False,Jul
2017,8,0.6800925925925926,False,Aug
2017,9,0.6262575301204819,False,Sep
2017,10,0.6611054172767203,False,Oct
2017,11,0.6433282559025134,False,Nov
2017,12,0.8206296851574213,False,Dec
2018,1,0.920418222554145,False,Jan
2018,2,0.8711407766990291,False,Feb
2018,3,1.043125458547322,False,Mar
2018,4,0.860840909090909,False,Apr
2018,5,0.7884788937409024,False,May
2018,6,0.6642188679245283,False,Jun
2018,7,0.6309912536443149,False,Jul
2018,8,0.6148384781048097,False,Aug
2018,9,0.6416577129700691,False,Sep
2018,10,0.6030485155684286,False,Oct
2018,11,0.611594427244582,False,Nov
2018,12,0.6897674418604651,False,Dec
2019,1,0.5639955022488755,False,Jan
2019,2,0.6376866283839213,False,Feb
2019,3,0.840890868596882,False,Mar
2019,4,0.6704087812263437,False,Apr
2019,5,0.7014452554744526,False,May
2019,6,0.677719298245614,False,Jun
2019,7,0.6189970501474926,False,Jul
2019,8,0.6678091106290672,False,Aug
2019,9,0.7220168067226891,False,Sep
2019,10,0.6468703976435936,False,Oct
2019,11,0.6111910286156226,False,Nov
2019,12,0.7252690582959641,False,Dec
2020,1,0.6965771812080537,False,Jan
2020,2,0.7240303272146847,False,Feb
2020,3,0.7469708588957055,False,Mar
2020,4,0.7027610008628128,False,Apr
2020,5,0.6992127303182579,False,May
2020,6,0.8046422182468694,False,Jun
2020,7,0.7698638911128902,False,Jul
2020,8,0.6930347054075867,False,Aug
2020,9,0.6576095947063688,False,Sep
2020,10,0.6733791430881164,False,Oct
2020,11,0.6923188405797102,False,Nov
2020,12,0.6003051106025934,False,Dec
2021,1,0.6268521341463414,False,Jan
2021,2,0.6642640874684609,False,Feb
2021,3,0.7831288343558283,False,Mar
2021,4,0.7644827586206897,False,Apr
2021,5,0.8036894696387393,False,May
2021,6,0.7849769230769231,False,Jun
2021,7,0.6417437452615619,False,Jul
2021,8,0.5572350230414747,False,Aug
2021,9,0.6138918507235339,False,Sep
2021,10,0.5293617021276595,False,Oct
2021,11,0.5499527099910891,True,Nov
2021,12,0.5705437178545187,False,Dec
2022,1,0.7148273155416013,False,Jan
2022,2,0.8196054888507719,False,Feb
2022,3,0.7892717306186374,False,Mar
2022,4,0.9906304868316042,False,Apr
2022,5,0.9015696784073507,False,May
2022,6,0.8412231750134822,True,Jun
2022,7,0.7808766716196136,False,Jul
2022,8,0.7000923076923077,False,Aug
2022,9,0.59424,False,Sep
2022,10,0.5716226708074534,False,Oct
2022,11,0.7710610932475884,False,Nov
2022,12,0.8977882352941177,False,Dec
2023,1,0.8717940717628706,False,Jan
2023,2,0.6045959595959596,False,Feb
2023,3,0.5766360856269114,False,Mar
2023,4,0.7122365245374095,False,Apr
2023,5,0.7187616822429906,False,May
2023,6,0.7501674641148326,False,Jun
2023,7,0.7239430284857571,False,Jul
2023,8,0.6746641509433962,False,Aug
2023,9,0.6453791469194312,False,Sep
2023,10,0.7001828298887123,False,Oct
2023,11,0.781913632514818,False,Nov
2023,12,0.8502113821138211,False,Dec
2024,1,0.9493419983753048,False,Jan
2024,2,0.8824096385542168,False,Feb
2024,3,0.8525483870967743,False,Mar
2024,4,0.8260708401976936,False,Apr
2024,5,0.7872549019607844,False,May
2024,6,0.8148344103392569,False,Jun
2024,7,0.6863925523661754,False,Jul
2024,8,0.6186102236421726,False,Aug
2024,9,0.500398406374502,False,Sep
2024,10,0.5280368098159509,False,Oct
2024,11,0.6421064111385051,True,Nov
2024,12,0.7561760124610591,False,Dec
